City;Latitude;Longitude;Country;Population
Kandahar;316100;656949;Afghanistan;715542
Jalalabad;344415;704361;Afghanistan;597971
Herat;343300;621700;Afghanistan;481009
Mazar-e Sharif;367000;671000;Afghanistan;458151
Kondoz;367280;688725;Afghanistan;259809
Baghlan;361393;686993;Afghanistan;218748
Lashkar Gah;315830;643600;Afghanistan;201546
Meymaneh;359302;647701;Afghanistan;199795
Balkh;367501;668997;Afghanistan;179969
Ghazni;335633;684178;Afghanistan;141000
Gardiz;336001;692146;Afghanistan;103601
Sheberghan;366580;657383;Afghanistan;93241
Farah;323917;620968;Afghanistan;73647
Andkhvoy;369317;651015;Afghanistan;71730
Feyzabad;371298;705792;Afghanistan;64704
Taloqan;367300;695400;Afghanistan;64256
Bamian;348211;675210;Afghanistan;61863
Pol-e Khomri;359511;687011;Afghanistan;56369
Charikar;350183;691679;Afghanistan;53676
Zaranj;311120;618870;Afghanistan;49851
Asadabad;348660;711500;Afghanistan;48400
Mayda Shahr;344500;688000;Afghanistan;35008
Aybak;362610;680400;Afghanistan;24000
Baraki Barak;339667;689667;Afghanistan;22305
Karokh;344868;625918;Afghanistan;17484
Mehtar Lam;346500;701667;Afghanistan;17345
Chaghcharan;345167;652500;Afghanistan;15000
Zareh Sharan;328500;684167;Afghanistan;13737
Qalat;321123;668868;Afghanistan;12191
Tarin Kowt;326333;658667;Afghanistan;10000
Mahmud-E Eraqi;350167;693333;Afghanistan;7407
Qala i Naw;349830;631333;Afghanistan;2997
Tirana;413275;198189;Albania;895350
Elbasan;411215;200838;Albania;165010
Shkoder;420685;195188;Albania;155767
Durres;413178;194482;Albania;142432
Vlore;404774;194982;Albania;89546
Fier;407300;195730;Albania;82297
Korce;406167;207667;Albania;58259
Berat;407100;199720;Albania;46866
Lushnje;409400;197160;Albania;41469
Pogradec;409000;206640;Albania;40000
Gjirokaster;400790;201490;Albania;23437
Kruje;415190;197970;Albania;21286
Lezhe;417880;196540;Albania;18695
Kukes;420830;204340;Albania;17832
Burrel;416260;200160;Albania;15405
Sarande;398770;200000;Albania;15147
Peshkopi;416833;204333;Albania;14848
Corovode;405167;202333;Albania;14046
Librazhd;412000;203667;Albania;12691
Tepelene;402833;200333;Albania;11955
Gramsh;408667;202000;Albania;11556
Permet;402340;203520;Albania;10686
Rreshen;417833;198167;Albania;10064
Bajram Curri;423333;200833;Albania;7967
Erseke;403333;206833;Albania;7890
Puke;420333;198833;Albania;6495
Algiers;367631;30506;Algeria;3354000
Oran;357100;-6200;Algeria;798000
Constantine;363600;65999;Algeria;605179
Blida;364203;28300;Algeria;511348
Annaba;369200;77600;Algeria;503524
Chlef;361704;13200;Algeria;449167
Bejaia;367604;50700;Algeria;384937
Batna;355700;61700;Algeria;280798
Setif;361800;54000;Algeria;274744
Tlimcen;348904;-13200;Algeria;229777
Skikda;368804;69000;Algeria;225181
Sidi bel Abbes;351903;-6400;Algeria;208604
Biskra;348600;57300;Algeria;202103
Mostaganem;359404;900;Algeria;188354
Tiarat;353804;13200;Algeria;184195
El Oued;333704;68600;Algeria;177497
Ouargla;319700;53400;Algeria;176271
Tebessa;354104;81200;Algeria;171742
Djelfa;346800;32500;Algeria;170901
